CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES,Cluster
35,1,MOTOCICLETA,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,1,0,ACTIVIDADES RURALES,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica,3
55,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,1,0,,,WANDA,IGUAZÚ,,Caza como estrategia,2
55,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,1,0,,Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como tactica,2
67,4,EMBARCACIONES S/MOTOR,5 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,1,2,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,POSADAS,CAPITAL,=>43 años,Caza comb de capitalinos,4
67,1,EMBARCACIONES S/MOTOR,5 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,1,2,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,POSADAS,CAPITAL,=>43 años,Caza comb de capitalinos,4
67,3,EMBARCACIONES S/MOTOR,5 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,1,2,0,CONSTRUCCION/MADERA,Algún ProgSocial,POSADAS,CAPITAL,=>43 años,Caza comb de capitalinos,4
67,2,EMBARCACIONES S/MOTOR,5 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,1,2,0,,,POSADAS,CAPITAL,,Caza comb de capitalinos,4
67,5,EMBARCACIONES S/MOTOR,5 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,1,2,0,,Algún ProgSocial,POSADAS,CAPITAL,=>43 años,Caza comb de capitalinos,4
48,4,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,2,0,,,,,,Caza como estrategia,2
48,3,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,2,0,,,TACUARAS (PY),ÑEEMBUCÚ (PY),,Caza como estrategia,2
48,1,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,2,0,,,ITAPEMA (BR),SANTA CATARINA (BR),,Caza como estrategia,2
48,2,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,2,0,,,PORTO XAVIER (BR),SANTA CATARINA (BR),,Caza como estrategia,2
77,3,,3 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,5,0,CONSTRUCCION/MADERA,Algún ProgSocial,ELDORADO,ELDORADO,21-31 años,Caza como estrategia,1
77,1,,3 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,5,0,CONSTRUCCION/MADERA,Sin ProgSocial,ELDORADO,ELDORADO,32-42 años,Caza como estrategia,1
77,2,,3 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,5,0,CONSTRUCCION/MADERA,Sin ProgSocial,GOBERNADOR VIRASORO (CORRIENTES),SANTO TOMÉ (CORRIENTES),=>43 años,Caza como estrategia,1
33,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,1,1,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO ESPERANZA,IGUAZÚ,21-31 años,Caza como estrategia,1
28,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,1,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,SAN PEDRO,SAN PEDRO,21-31 años,Caza como tactica,1
10,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,1,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia,1
59,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,2,1,0,0,ACTIVIDADES RURALES,Sin ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,21-31 años,Caza como tactica,3
59,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,1,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia,3
18,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,1,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia,1
46,2,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,2,0,0,,,PUERTO IGUAZÚ,IGUAZÚ,,Caza como estrategia,2
63,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,2,0,0,,,WANDA,IGUAZÚ,,Caza como tactica,2
46,1,,2 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,2,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,21-31 años,Caza como estrategia,1
63,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,2,0,0,ACTIVIDADES RURALES,Sin ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como tactica,3
74,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,3,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia,1
79,4,,4 MIEMBROS,CON DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,3,0,0,,Algún ProgSocial,,,-21 años,Caza como tactica,2
79,3,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,21-31 años,Caza como estrategia,1
79,1,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,32-42 años,Caza como estrategia,1
79,2,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,3,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,32-42 años,Caza como estrategia,1
68,4,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,,FUERA DE RIESGO,1,1,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia,1
68,1,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACIÓN 4 O 5,1,1,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como estrategia,1
68,3,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,,,21-31 años,Caza como estrategia,1
34,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,0,1,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,DOS DE MAYO,CAINGUÁS,21-31 años,Caza como tactica,1
22,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,CAMPO GRANDE,CAINGUÁS,,Caza como tactica,2
36,1,,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,,,WANDA,IGUAZÚ,21-31 años,Caza como estrategia,2
25,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica,3
3,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,,,SAN ANTONIO,GENERAL MANUEL BELGRANO,=>43 años,Caza como tactica,2
64,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,CAMPO GRANDE,CAINGUÁS,,Caza como tactica,2
52,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,,Caza como tactica,2
52,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica,3
64,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,CAMPO GRANDE,CAINGUÁS,=>43 años,Caza como tactica,3
65,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia,1
65,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia,1
65,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia,1
27,1,,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,32-42 años,Caza como tactica,1
60,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,DOS DE MAYO,CAINGUÁS,21-31 años,Caza como tactica,3
61,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,,,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como tactica,2
61,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como tactica,3
60,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como tactica,3
44,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica,3
44,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica,3
43,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,EL SOBERBIO,GUARANÍ,=>43 años,Caza como tactica,3
43,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,=>43 años,Caza como tactica,3
56,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,1,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,GARUPA,CAPITAL,21-31 años,Caza como tactica,3
68,2,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,0,0,0,0,,,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia,1
37,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,,,21-31 años,Caza como tactica,3
69,1,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia,1
69,3,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia,1
70,4,,4 MIEMBROS,CON DECOMISO,VARÓN,,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia,1
70,1,,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia,1
75,4,EMBARCACIONES S/MOTOR,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia,1
69,2,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACION 2 O 3,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,,Caza como estrategia,1
71,1,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia,3
70,2,,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,32-42 años,Caza como estrategia,1
71,4,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,SITUACIÓN 4 O 5,0,0,0,0,0,,Sin ProgSocial,WANDA,IGUAZÚ,=>43 años,Caza como estrategia,2
1,1,LANCHA,1 MIEMBRO,CON DECOMISO,,,,0,0,0,0,0,,,,,,Caza comb de lugareños,2
41,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,COLONIA AURORA,25 DE MAYO,,Caza comb de lugareños,2
12,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,ARISTÓBULO DEL VALLE,CAINGUÁS,,Caza como tactica,2
6,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,PUERTO LIBERTAD,IGUAZÚ,,Caza como estrategia,2
42,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,MUJER,,,0,0,0,0,0,,,PORTO XAVIER (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
40,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,COLONIA DELICIA,ELDORADO,-21 años,Caza como tactica,3
38,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL ALCÁZAR,LIBERTADOR GENERAL SAN MARTÍN,-21 años,Caza como tactica,3
32,1,AUTOMOVIL,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,,,21-31 años,Caza como estrategia,1
39,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,21-31 años,Caza como tactica,2
30,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como estrategia,1
24,1,MOTOCICLETA,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia,3
26,1,,1 MIEMBRO,CON DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,SAN JAVIER,SAN JAVIER,21-31 años,Caza como tactica,2
21,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,32-42 años,Caza como estrategia,1
23,1,,1 MIEMBRO,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO ESPERANZA,IGUAZÚ,32-42 años,Caza como estrategia,1
17,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia,2
19,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia,1
31,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica,2
20,1,MOTOCICLETA,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica,3
14,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,,COLONIA VICTORIA,ELDORADO,=>43 años,Caza como estrategia,2
13,1,,1 MIEMBRO,CON DECOMISO,VARÓN,,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO ESPERANZA,IGUAZÚ,=>43 años,Caza como estrategia,1
15,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia,1
11,1,EMBARCACIONES S/MOTOR,1 MIEMBRO,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,=>43 años,Caza como estrategia,2
16,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,=>43 años,Caza como estrategia,1
2,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,,,,0,0,0,0,0,,,,,,Caza como tactica,2
54,2,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,CLEVELANDIA  (BR),PARANÁ (BR),,Caza como estrategia,2
54,1,,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,PATO BRANCO (BR),PARANÁ (BR),,Caza como estrategia,2
7,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,HORIZONTINA (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
7,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,HORIZONTINA (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
53,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,TRES DE MAYO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
53,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,TRES DE MAYO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
49,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,ELDORADO,ELDORADO,21-31 años,Caza como estrategia,3
49,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,MUJER,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,21-31 años,Caza como tactica,2
62,2,LANCHA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,21-31 años,Caza comb de lugareños,3
58,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como tactica,3
47,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO RICO,LIBERTADOR GENERAL SAN MARTÍN,21-31 años,Caza como tactica,3
62,1,LANCHA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,32-42 años,Caza comb de lugareños,3
57,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia,3
58,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia,3
47,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO RICO,LIBERTADOR GENERAL SAN MARTÍN,32-42 años,Caza como tactica,3
