CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES
68,4,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,,FUERA DE RIESGO,1,1,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia
68,1,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,SITUACIÓN 4 O 5,1,1,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como estrategia
68,3,AUTOMOVIL,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,1,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,,,21-31 años,Caza como estrategia
34,1,CAMIONETA,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,0,1,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,DOS DE MAYO,CAINGUÁS,21-31 años,Caza como tactica
22,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,CAMPO GRANDE,CAINGUÁS,,Caza como tactica
36,1,,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,,,WANDA,IGUAZÚ,21-31 años,Caza como estrategia
25,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica
3,1,,1 MIEMBRO,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,,,SAN ANTONIO,GENERAL MANUEL BELGRANO,=>43 años,Caza como tactica
64,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,CAMPO GRANDE,CAINGUÁS,,Caza como tactica
52,2,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,,,0,1,0,0,0,,,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,,Caza como tactica
52,1,EMBARCACIONES S/MOTOR,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,32-42 años,Caza como tactica
64,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,CAMPO GRANDE,CAINGUÁS,=>43 años,Caza como tactica
